Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
1.42,137.76,2024-02-16 08:00,0.0,0.38
1.41,137.75,2024-02-16 07:00,0.0,1.14
1.34,137.53,2024-02-16 02:00,0.0,0.81
1.37,137.54,2024-02-16 04:00,0.0,1.04
1.36,137.49,2024-02-16 03:00,0.0,1.11
1.38,137.59,2024-02-16 05:00,0.0,0.93
1.27,137.54,2024-02-16 00:00,0.0,2.06
1.32,137.51,2024-02-16 01:00,0.0,0.87
1.4,137.67,2024-02-16 06:00,0.0,1.01
0.28,137.79,2024-02-22 18:00,0.0,1.6
0.27,137.77,2024-02-22 19:00,0.0,0.2
0.2,137.71,2024-02-22 20:00,0.0,1.1
1.84,138.51,2024-02-17 12:00,0.0,0.78
1.8,138.44,2024-02-17 13:00,0.0,1.32
1.43,137.84,2024-02-16 09:00,0.0,1.41
1.45,137.94,2024-02-16 10:00,0.0,1.17
1.5,138.13,2024-02-16 13:00,0.0,1.02
1.48,138.04,2024-02-16 12:00,0.0,0.82
1.47,138.01,2024-02-16 11:00,0.0,1.12
1.6,138.34,2024-02-17 18:00,0.0,1.12
1.73,138.42,2024-02-17 15:00,0.0,0.59
1.75,138.44,2024-02-17 14:00,0.0,1.1
1.63,138.37,2024-02-17 17:00,0.0,0.81
1.66,138.39,2024-02-17 16:00,0.0,1.73
1.5,138.2,2024-02-16 14:00,0.0,1.14
1.5,138.25,2024-02-16 15:00,0.0,0.81
1.52,138.34,2024-02-16 17:00,0.0,0.39
1.51,138.32,2024-02-16 16:00,0.0,1.08
1.53,138.41,2024-02-16 18:00,0.0,1.01
1.57,138.35,2024-02-17 19:00,0.0,0.77
1.52,138.39,2024-02-17 20:00,0.0,0.53
1.54,138.47,2024-02-16 19:00,0.0,1.72
1.46,138.43,2024-02-17 21:00,0.0,1.03
1.42,138.47,2024-02-17 22:00,0.0,1.14
1.77,138.61,2024-02-16 23:00,0.0,1.04
1.67,138.6,2024-02-16 22:00,0.0,1.04
1.56,138.58,2024-02-16 21:00,0.0,1.63
1.15,138.42,2024-02-20 07:00,0.0,1.04
1.18,138.47,2024-02-20 08:00,0.0,0.79
1.11,138.4,2024-02-20 06:00,0.0,1.04
1.06,138.49,2024-02-20 04:00,0.0,1.09
1.09,138.45,2024-02-20 05:00,0.0,0.75
0.79,138.25,2024-02-22 03:00,0.0,1.03
0.83,138.27,2024-02-21 17:00,0.0,0.41
0.84,138.34,2024-02-21 04:00,0.0,0.6
0.83,138.27,2024-02-21 14:00,0.0,1.33
0.82,138.29,2024-02-21 09:00,0.0,1.04
0.8,138.26,2024-02-22 01:00,0.0,1.09
0.84,138.27,2024-02-21 16:00,0.0,1.08
0.82,138.29,2024-02-21 22:00,0.0,1.04
0.83,138.27,2024-02-21 18:00,0.0,1.04
0.84,138.25,2024-02-21 20:00,0.0,0.09
0.84,138.27,2024-02-21 21:00,0.0,1.17
0.82,138.29,2024-02-21 10:00,0.0,1.04
0.83,138.26,2024-02-21 19:00,0.0,1.72
0.83,138.3,2024-02-21 08:00,0.0,1.19
0.82,138.28,2024-02-21 12:00,0.0,1.23
0.83,138.33,2024-02-21 02:00,0.0,0.97
0.84,138.27,2024-02-21 15:00,0.0,1.05
0.83,138.31,2024-02-21 07:00,0.0,1.04
0.83,138.28,2024-02-21 13:00,0.0,0.35
0.81,138.27,2024-02-22 00:00,0.0,1.14
0.82,138.28,2024-02-21 23:00,0.0,1.04
0.83,138.33,2024-02-21 03:00,0.0,1.04
0.84,138.32,2024-02-21 06:00,0.0,1.04
0.83,138.28,2024-02-21 11:00,0.0,0.81
0.8,138.26,2024-02-22 02:00,0.0,0.52
0.84,138.33,2024-02-21 05:00,0.0,1.29
0.82,138.33,2024-02-21 01:00,0.0,1.7
0.77,138.2,2024-02-22 08:00,0.0,1.06
0.74,138.18,2024-02-22 11:00,0.0,1.82
0.78,138.22,2024-02-22 06:00,0.0,1.24
0.79,138.24,2024-02-22 04:00,0.0,1.46
0.78,138.23,2024-02-22 05:00,0.0,1.07
0.76,138.19,2024-02-22 09:00,0.0,1.34
0.77,138.21,2024-02-22 07:00,0.0,0.68
0.82,138.39,2024-02-26 12:00,0.0,0.61
0.81,138.41,2024-02-26 00:00,0.0,1.53
0.84,138.43,2024-02-20 23:00,0.0,1.1
0.84,138.44,2024-02-26 11:00,0.0,1.52
0.72,138.34,2024-02-26 14:00,0.0,1.01
0.72,138.41,2024-02-25 23:00,0.0,1.14
0.79,138.35,2024-02-26 13:00,0.0,0.77
1.39,138.54,2024-02-17 23:00,0.0,1.52
1.35,138.68,2024-02-18 01:00,0.0,1.23
1.37,138.61,2024-02-18 00:00,0.0,0.82
1.25,138.57,2024-02-20 10:00,0.0,1.04
1.31,138.65,2024-02-20 12:00,0.0,0.89
1.28,138.62,2024-02-20 11:00,0.0,1.04
1.35,138.76,2024-02-18 03:00,0.0,1.1
1.34,138.71,2024-02-20 13:00,0.0,1.05
1.36,138.77,2024-02-20 14:00,0.0,1.08
1.33,138.78,2024-02-20 17:00,0.0,1.02
1.34,138.8,2024-02-20 16:00,0.0,1.8
1.34,138.83,2024-02-18 04:00,0.0,1.05
1.22,138.53,2024-02-20 09:00,0.0,1.0
1.15,138.63,2024-02-19 08:00,0.0,1.06
1.2,138.61,2024-02-19 07:00,0.0,1.17
1.16,138.67,2024-02-19 06:00,0.0,1.04
1.14,138.64,2024-02-19 09:00,0.0,0.62
1.14,138.67,2024-02-20 19:00,0.0,0.77
1.06,138.67,2024-02-19 10:00,0.0,1.13
1.2,138.71,2024-02-20 18:00,0.0,1.72
1.14,138.71,2024-02-19 05:00,0.0,1.24
1.08,138.77,2024-02-19 03:00,0.0,1.09
1.1,138.76,2024-02-19 04:00,0.0,0.7
